,Unnamed: 0,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대,건수합계
514,514,201905,3,1,3,5,1,0,44
515,515,202105,12,1,4,2,0,1,5300
516,516,201905,11,0,2,4,1,1,3979
517,517,202005,3,0,0,1,0,2,1118
518,518,202105,7,0,6,5,0,1,2651
519,519,202005,13,0,6,1,1,1,688
520,520,201905,13,0,1,1,1,1,703
521,521,202105,3,1,2,4,1,4,57
522,522,202105,6,0,3,2,0,1,1267
523,523,202105,11,1,4,4,0,4,1382
524,524,201905,11,0,6,0,1,0,381
525,525,201905,13,0,6,3,1,0,410
526,526,202005,4,0,0,5,1,4,26
527,527,201905,6,1,2,5,0,0,109
528,528,202005,13,0,0,2,1,2,1252
529,529,202105,9,0,1,2,0,0,100
530,530,201905,7,1,3,4,1,4,3
531,531,202105,4,1,4,4,0,1,1166
532,532,202105,11,0,1,0,1,2,694
533,533,201905,13,0,2,2,0,2,3082
534,534,202105,3,0,2,2,0,3,308
535,535,202105,10,1,4,2,0,2,713
536,536,202005,13,1,4,5,1,0,588
537,537,201905,6,0,6,2,1,0,91
538,538,202005,8,1,0,4,0,3,212
539,539,202005,8,0,1,1,0,0,479
540,540,202105,6,1,2,5,0,4,20
541,541,202005,8,0,1,5,1,0,411
542,542,202105,1,0,0,2,0,1,89
543,543,202005,4,1,0,1,0,3,26
544,544,202105,5,1,2,4,0,3,2703
545,545,201905,5,1,5,0,0,3,102
546,546,201905,13,1,3,5,1,4,11
547,547,201905,4,0,0,3,0,0,307
548,548,201905,4,0,1,3,0,2,640
549,549,201905,4,0,0,4,1,1,393
550,550,202005,1,0,0,0,1,1,12
551,551,201905,5,1,4,5,0,4,231
552,552,201905,0,0,3,3,0,0,652
553,553,202005,10,0,3,5,0,1,560
554,554,202105,11,0,1,0,0,0,1515
555,555,202105,13,0,0,1,0,2,2170
556,556,202005,3,1,0,5,0,4,11
557,557,202105,9,0,1,3,0,2,302
558,558,201905,7,0,3,3,0,2,491
559,559,202005,3,0,6,1,0,4,38
560,560,202105,12,0,3,3,0,3,8167
561,561,201905,5,0,1,3,0,2,5534
562,562,202005,5,0,2,4,0,2,8468
563,563,202105,4,1,4,4,0,0,622
564,564,201905,10,1,3,4,1,4,10
565,565,202105,5,0,0,5,1,0,812
566,566,202005,10,0,6,4,0,2,430
567,567,202005,5,0,2,2,0,4,1409
568,568,201905,2,0,2,2,0,1,5939
569,569,202005,5,1,6,1,0,4,123
570,570,202005,6,0,2,1,0,2,319
571,571,202105,3,1,5,5,1,2,1011
572,572,202105,7,0,1,2,1,1,1085
573,573,201905,6,0,2,4,0,0,273
574,574,202105,1,0,6,5,0,1,50
575,575,202005,11,1,0,2,0,3,790
576,576,202005,0,1,5,1,0,3,224
577,577,201905,1,0,0,5,0,0,7
578,578,202005,11,0,1,3,0,1,12357
579,579,201905,13,1,5,3,0,4,147
580,580,201905,10,0,1,1,1,2,358
581,581,202105,7,0,3,2,1,0,193
582,582,202105,2,0,3,3,1,3,4817
583,583,202105,6,0,3,0,0,0,125
584,584,202105,2,1,2,1,0,1,1707
585,585,202005,9,1,4,2,1,1,665
586,586,201905,0,1,3,2,0,1,190
587,587,201905,12,1,4,3,1,2,2667
588,588,202005,2,1,0,4,0,4,188
589,589,202005,4,0,6,4,1,4,39
590,590,201905,2,1,4,2,1,1,1837
591,591,201905,2,0,1,4,0,3,2324
592,592,202105,0,1,4,1,0,3,303
593,593,201905,13,1,5,3,1,2,482
594,594,202005,7,1,6,1,0,3,10
595,595,201905,8,0,3,4,0,0,492
596,596,202005,4,0,6,2,1,3,190
597,597,202005,2,0,3,1,1,0,693
598,598,202105,3,0,0,2,0,2,2860
599,599,202105,12,0,2,5,0,3,5161
600,600,202005,4,0,2,5,0,1,983
601,601,202005,11,1,5,1,1,1,1767
602,602,202005,1,0,3,5,0,4,9
603,603,201905,7,0,3,1,1,4,8
604,604,201905,4,1,2,3,1,2,134
605,605,202005,3,1,6,0,0,1,59
606,606,202105,4,0,2,0,0,1,82
607,607,202005,12,1,4,4,1,2,4561
608,608,202105,7,0,2,0,1,3,12
609,609,201905,12,1,3,1,1,0,29
610,610,202005,0,0,1,3,1,2,2601
611,611,202005,4,0,2,3,0,3,250
612,612,202005,1,0,1,4,0,1,49
613,613,201905,3,0,1,2,0,2,2374
614,614,202105,0,0,6,5,1,4,175
615,615,201905,3,1,5,2,1,1,629
616,616,201905,10,0,1,0,1,4,10
617,617,202005,13,1,0,3,0,1,652
618,618,201905,13,0,0,2,1,1,1243
619,619,202105,7,0,0,1,1,4,22
620,620,201905,5,0,3,4,1,0,689
621,621,202005,7,0,2,4,0,3,106
622,622,201905,4,0,1,0,1,0,65
623,623,202005,2,0,1,0,1,2,649
624,624,202005,2,1,0,3,1,4,263
625,625,202005,4,0,1,5,1,2,495
626,626,201905,2,1,5,0,0,1,438
627,627,202105,9,0,2,2,1,1,467
628,628,202005,7,1,5,1,1,4,16
629,629,201905,5,1,3,0,1,4,12
630,630,202005,0,0,1,0,0,0,91
631,631,202005,12,0,2,1,0,0,538
632,632,202105,4,1,2,3,0,0,196
633,633,201905,4,1,5,1,0,4,11
634,634,202105,4,0,6,1,0,3,189
635,635,202005,3,1,6,2,0,1,262
636,636,201905,11,0,1,0,0,1,1857
637,637,202005,7,1,5,4,0,2,750
638,638,201905,13,0,3,3,0,3,800
639,639,202105,8,0,0,0,0,4,34
640,640,201905,7,0,1,4,0,0,511
641,641,202105,1,0,6,4,1,0,11
642,642,202105,12,0,6,3,1,0,186
643,643,202105,10,0,3,1,1,3,300
644,644,201905,4,0,3,1,1,2,177
645,645,202005,4,1,0,0,0,3,7
646,646,202005,8,1,6,1,0,1,182
647,647,202105,3,0,2,5,0,0,167
648,648,202105,12,0,1,2,1,4,1277
649,649,202105,5,0,3,4,1,0,1800
650,650,202105,7,0,3,4,1,3,167
651,651,202005,6,1,4,3,0,0,444
