,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대,건수합계
194,202005,홈쇼핑,휴일,토,B.06-10시,M,A.2O대,161
195,201905,생활/사무용품,휴일,수,D.14-18시,F,C.4O대,1086
196,202005,생활/사무용품,휴일,금,D.14-18시,M,A.2O대,224
197,202005,서적,평일,화,A.02-06시,M,A.2O대,31
198,202105,가전,평일,월,E.18-22시,M,B.3O대,3834
199,202005,인테리어,평일,목,E.18-22시,M,E.60대이상,248
200,202105,패션,평일,목,F.22-02시,M,B.3O대,4744
201,202005,인테리어,휴일,토,E.18-22시,M,B.3O대,1371
202,201905,스포츠의류용품,휴일,일,E.18-22시,M,A.2O대,179
203,202005,차량정비_부품,평일,금,B.06-10시,F,B.3O대,117
204,202005,애완용품,휴일,화,C.10-14시,F,B.3O대,170
205,201905,식료품,평일,목,B.06-10시,F,C.4O대,3116
206,202005,인테리어,휴일,금,E.18-22시,F,A.2O대,272
207,202005,식료품,휴일,토,B.06-10시,M,C.4O대,1502
208,202105,애완용품,평일,월,B.06-10시,M,C.4O대,270
209,202105,생활/사무용품,휴일,일,F.22-02시,F,E.60대이상,822
210,202105,생활/사무용품,휴일,토,A.02-06시,F,E.60대이상,143
211,201905,유아용품,휴일,일,E.18-22시,F,E.60대이상,32
212,202005,차량정비_부품,평일,목,B.06-10시,M,E.60대이상,52
213,202105,스포츠의류용품,휴일,일,E.18-22시,M,E.60대이상,103
214,201905,홈쇼핑,평일,수,F.22-02시,M,D.5O대,1360
215,202105,인테리어,휴일,수,A.02-06시,M,B.3O대,76
216,201905,애완용품,평일,월,E.18-22시,M,A.2O대,62
217,202005,유아용품,평일,화,A.02-06시,M,C.4O대,58
218,201905,가전,평일,목,E.18-22시,F,D.5O대,366
219,202105,화장품,휴일,수,E.18-22시,M,A.2O대,266
220,202105,차량정비_부품,평일,화,F.22-02시,M,C.4O대,565
221,202005,스포츠의류용품,평일,화,D.14-18시,M,E.60대이상,45
222,202105,서적,휴일,토,A.02-06시,F,E.60대이상,14
223,201905,취미용품,평일,목,A.02-06시,M,C.4O대,71
224,202105,생활/사무용품,평일,화,E.18-22시,F,D.5O대,3927
225,202005,서적,평일,월,A.02-06시,F,E.60대이상,14
226,202105,유아용품,휴일,수,C.10-14시,M,E.60대이상,29
227,202105,식료품,평일,수,D.14-18시,F,E.60대이상,877
228,202105,차량정비_부품,평일,수,F.22-02시,F,B.3O대,143
229,202105,홈쇼핑,평일,화,B.06-10시,F,E.60대이상,4831
230,201905,유아용품,평일,금,F.22-02시,F,A.2O대,465
231,201905,서적,휴일,일,A.02-06시,F,C.4O대,122
232,202105,유아용품,평일,월,B.06-10시,M,C.4O대,430
233,202105,홈쇼핑,휴일,토,A.02-06시,F,E.60대이상,1409
234,201905,식료품,평일,수,B.06-10시,M,A.2O대,450
235,202005,골프용품,휴일,금,F.22-02시,M,C.4O대,49
236,201905,서적,평일,목,A.02-06시,F,B.3O대,211
237,201905,가전,휴일,토,D.14-18시,M,A.2O대,463
238,201905,애완용품,휴일,일,C.10-14시,M,C.4O대,138
239,202105,골프용품,평일,금,C.10-14시,M,B.3O대,135
240,202105,유아용품,평일,월,F.22-02시,F,C.4O대,1220
241,201905,인테리어,휴일,월,D.14-18시,F,A.2O대,180
242,201905,애완용품,휴일,일,A.02-06시,M,A.2O대,10
243,202105,식료품,평일,목,A.02-06시,M,B.3O대,659
244,202105,가전,휴일,수,C.10-14시,M,B.3O대,1026
245,202105,홈쇼핑,휴일,토,D.14-18시,F,C.4O대,10977
246,202005,서적,휴일,금,A.02-06시,F,B.3O대,56
247,202105,생활/사무용품,평일,월,A.02-06시,M,E.60대이상,191
248,202005,인테리어,휴일,금,B.06-10시,M,C.4O대,150
249,202005,생활/사무용품,휴일,금,E.18-22시,F,A.2O대,352
250,202005,화장품,평일,금,B.06-10시,M,B.3O대,779
251,202005,생활/사무용품,휴일,토,F.22-02시,F,B.3O대,5731
252,202105,애완용품,휴일,토,D.14-18시,M,E.60대이상,46
253,202105,서적,평일,화,B.06-10시,F,C.4O대,1339
254,201905,패션,평일,화,A.02-06시,F,C.4O대,880
255,202105,가전,휴일,수,F.22-02시,F,A.2O대,294
256,202105,패션,휴일,토,E.18-22시,M,A.2O대,2595
257,202105,골프용품,휴일,수,D.14-18시,M,D.5O대,81
258,202005,패션,평일,목,A.02-06시,F,E.60대이상,122
