Date,Open,High,Low,Close,Adj Close,Volume
2019-08-21,44350.000000,44800.000000,44150.000000,44500.000000,41212.839844,6571717
2019-08-22,44500.000000,44700.000000,43850.000000,44050.000000,40796.082031,8061177
2019-08-23,43800.000000,44200.000000,43650.000000,43950.000000,40703.472656,5017381
2019-08-26,43050.000000,43800.000000,42950.000000,43600.000000,40379.328125,7954949
2019-08-27,43650.000000,44200.000000,43600.000000,44050.000000,40796.082031,16883932
2019-08-28,44100.000000,44400.000000,43750.000000,44150.000000,40888.703125,5758333
2019-08-29,44200.000000,44200.000000,43050.000000,43400.000000,40194.101563,10768862
2019-08-30,43750.000000,44300.000000,43750.000000,44000.000000,40749.777344,9899073
2019-09-02,44850.000000,44850.000000,43650.000000,43800.000000,40564.546875,7185537
2019-09-03,43550.000000,43650.000000,43100.000000,43250.000000,40055.175781,9774941
2019-09-04,43250.000000,44100.000000,43150.000000,44100.000000,40842.390625,12441837
2019-09-05,44800.000000,46100.000000,44450.000000,45700.000000,42324.199219,18297430
2019-09-06,46500.000000,46500.000000,45850.000000,46300.000000,42879.878906,9896562
2019-09-09,46450.000000,47000.000000,46300.000000,46900.000000,43435.558594,9434157
2019-09-10,47100.000000,47200.000000,46550.000000,47000.000000,43528.167969,9231792
2019-09-11,47300.000000,47400.000000,46800.000000,47150.000000,43667.093750,16141619
2019-09-16,47000.000000,47100.000000,46400.000000,47100.000000,43620.789063,15550926
2019-09-17,47000.000000,47100.000000,46800.000000,46900.000000,43435.558594,7006280
2019-09-18,46900.000000,47700.000000,46800.000000,47700.000000,44176.464844,10413027
2019-09-19,48050.000000,49200.000000,47850.000000,49150.000000,45519.351563,16461413
2019-09-20,49400.000000,49600.000000,49100.000000,49200.000000,45565.656250,15460210
2019-09-23,49250.000000,49300.000000,49000.000000,49300.000000,45658.273438,7568553
2019-09-24,49050.000000,49650.000000,48850.000000,49500.000000,45843.496094,7871955
2019-09-25,49200.000000,49350.000000,48800.000000,48900.000000,45287.820313,9187141
2019-09-26,49000.000000,49250.000000,48900.000000,49200.000000,45565.656250,8494756
2019-09-27,48000.000000,48700.000000,48000.000000,48400.000000,45149.609375,8048041
2019-09-30,48050.000000,49250.000000,47900.000000,49050.000000,45755.957031,9497119
2019-10-01,48900.000000,49100.000000,48650.000000,48850.000000,45569.394531,6206035
2019-10-02,48350.000000,48400.000000,47600.000000,47600.000000,44403.339844,8382463
2019-10-04,47400.000000,48650.000000,47350.000000,48000.000000,44776.472656,9331695
2019-10-07,48350.000000,48700.000000,47650.000000,47750.000000,44543.261719,7047273
2019-10-08,47900.000000,49000.000000,47600.000000,48900.000000,45616.039063,14239367
2019-10-10,48200.000000,49200.000000,48000.000000,48550.000000,45289.531250,18639855
2019-10-11,49000.000000,49450.000000,48800.000000,49150.000000,45849.234375,7783275
2019-10-14,50000.000000,50300.000000,49850.000000,50000.000000,46642.160156,11130635
2019-10-15,49900.000000,50200.000000,49900.000000,50100.000000,46735.445313,6058105
2019-10-16,50700.000000,50900.000000,50400.000000,50700.000000,47295.148438,9136282
2019-10-17,50500.000000,50600.000000,50100.000000,50500.000000,47108.589844,6701380
