title,brand,percent,price
THE ROAD: WINTER FOR SPRING [스페셜 싱글] [C VER],SUPER JUNIOR(슈퍼주니어),18%,17%
THE ROAD: WINTER FOR SPRING [스페셜 싱글] [B VER],SUPER JUNIOR(슈퍼주니어),12%,18%
THE ROAD: WINTER FOR SPRING [스페셜 싱글] [A VER],SUPER JUNIOR(슈퍼주니어),20%,12%
NEW START [미니 1집],BLACK LEVEL(블랙레벨),19%,20%
YOUNG-LUV.COM [미니 2집] [JEWEL CASE VER] [6종 중 랜덤 1종],STAYC(스테이씨),19%,19%
바람같은 날을 살다가 [180G 퍼플 LP],JEONG MI JO(정미조),19%,19%
AD MARE [싱글 1집] [LIGHT VER],NMIXX(엔믹스),19%,19%
2 [EP ALBUM],BANG YONGGUK(방용국),19%,19%
상실의 시대,노르웨이 숲,19%,19%
마음은 따끔,노르웨이 숲,19%,19%
사람이 사람을 좋아하는 건 [소품집],노르웨이 숲,19%,19%
혼자 있는 밤 [정규 1집],노르웨이 숲,19%,19%
ODDINARY [MINI ALBUM] [SCANNING/ MASK OFF VER] [일반반],STRAY KIDS(스트레이 키즈),17%,19%
THE COLLECTIVE SOUL AND UNCONSCIOUS: CHAPTER ONE [미니 2집] [SOUL VER],BILLLIE(빌리),19%,17%
THE COLLECTIVE SOUL AND UNCONSCIOUS: CHAPTER ONE [미니 2집] [UNCONSCIOUS VER],BILLLIE(빌리),19%,19%
DANCE WITH GOD [미니 2집],CRAXY(크랙시),19%,19%
POST POST POST!,JOSEE(조제),19%,19%
수몰 [140G 투명 브릴리언트 블루 LP],천용성,20%,19%
NATURAL [LP],G.SOUL(지소울),20%,20%
JTRAP [미니 1집],JWIIVER(제이위버),18%,20%
YEARBOOK 2021,015B(공일오비),19%,18%
YOUNG-LUV.COM [미니 2집] [2종 세트],STAYC(스테이씨),19%,19%
YOUNG-LUV.COM [미니 2집] [2종 중 랜덤 1종],STAYC(스테이씨),19%,19%
IT`S ME, IT`S WE [미니 1집] [DIGIPACK VER],TEMPEST(템페스트),17%,19%
IT`S ME, IT`S WE [미니 1집],TEMPEST(템페스트),19%,17%
IT`S ME, IT`S WE [미니 1집] [2종 세트],TEMPEST(템페스트),0,19%
LOVENDER [미니 1집],한승윤,0,0
BORN (本) [정규 6집],BIG MAMA(빅마마),0,0
BE TOGETHER [정규 3집],BTOB(비투비),0,0
