CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,,,
202105,1,평일,수,D.14-18시,F,B.3O대," 1,024 ",,,
202005,2,평일,금,F.22-02시,M,A.2O대, 301 ,,,
202005,2,평일,금,C.10-14시,M,D.5O대, 291 ,,,
201905,1,휴일,수,D.14-18시,F,C.4O대," 1,086 ",,,
202005,1,휴일,금,D.14-18시,M,A.2O대, 224 ,,,
202005,1,평일,화,A.02-06시,M,A.2O대, 31 ,,,
202105,1,평일,월,E.18-22시,M,B.3O대," 3,834 ",,,
202005,1,평일,목,E.18-22시,M,E.60대이상, 248 ,,,
202105,2,평일,목,F.22-02시,M,B.3O대," 4,744 ",,,
202005,1,휴일,토,E.18-22시,M,B.3O대," 1,371 ",,,
201905,2,휴일,일,E.18-22시,M,A.2O대, 179 ,,,
202005,1,평일,금,B.06-10시,F,B.3O대, 117 ,,,
202005,3,휴일,화,C.10-14시,F,B.3O대, 170 ,,,
201905,4,평일,목,B.06-10시,F,C.4O대," 3,116 ",,,
202005,1,휴일,금,E.18-22시,F,A.2O대, 272 ,,,
202005,4,휴일,토,B.06-10시,M,C.4O대," 1,502 ",,,
202105,3,평일,월,B.06-10시,M,C.4O대, 270 ,,,
202105,1,휴일,일,F.22-02시,F,E.60대이상, 822 ,,,
202105,1,휴일,토,A.02-06시,F,E.60대이상, 143 ,,,
201905,1,휴일,일,E.18-22시,F,E.60대이상, 32 ,,,
202005,1,평일,목,B.06-10시,M,E.60대이상, 52 ,,,
202105,2,휴일,일,E.18-22시,M,E.60대이상, 103 ,,,
202105,1,휴일,수,A.02-06시,M,B.3O대, 76 ,,,
201905,3,평일,월,E.18-22시,M,A.2O대, 62 ,,,
202005,1,평일,화,A.02-06시,M,C.4O대, 58 ,,,
201905,1,평일,목,E.18-22시,F,D.5O대, 366 ,,,
202105,2,휴일,수,E.18-22시,M,A.2O대, 266 ,,,
202105,1,평일,화,F.22-02시,M,C.4O대, 565 ,,,
