,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
4971,2020.0,"34310,34310",2,0,0,4.0,0.0,95000.0,23750.0,4.0,2.0,66.0,11.0,6.0,"1,2",1,"14,4,2",5,1.0,1.0,,,,,,,,,,,,,,,34310,34310,,,,,,,,,,1,,,14,4,2,,,,,,,,,,,,,,
4972,2020.0,"34030,34020",2,"0,0",,4.0,1.0,204000.0,75500.0,4.0,2.0,32.0,12.0,6.0,"1,2,8",1,"3,4,8",1,1.0,1.0,,,,,,1.0,,,,,,,,,34030,34020,,,,,,,,,,1,,,3,4,8,0.0,0.0,,,,,,,,,,,,
4973,2020.0,"21090,21140",2,0,0,2.0,0.0,237000.0,118500.0,4.0,2.0,24.0,12.0,6.0,"1,2,8",2,"14,2,1",3,1.0,1.0,,,,,,1.0,,,,,,,,,21090,21140,,,,,,,,,,2,,,14,2,1,,,,,,,,,,,,,,
4974,2020.0,"36020,36020,35370",3,1,4,4.0,0.0,430000.0,430000.0,4.0,1.0,43.0,12.0,6.0,"1,2,3",1,"1,12,5",3,1.0,1.0,1.0,,,,,,,,,,,,,,36020,36020,35370,,,,,,,,,1,,,1,12,5,4.0,,,,,,,,,,,,,
4975,2020.0,"34340,29010",2,"0,0",,3.0,0.0,208002.0,89334.0,4.0,2.0,55.0,12.0,6.0,"1,2,8",1,"7,8,14",1,1.0,1.0,,,,,,1.0,,,,,,,,,34340,29010,,,,,,,,,,1,,,7,8,14,0.0,0.0,,,,,,,,,,,,
4976,2020.0,"39010,39010,39010,39020,39020,39010,39010,39010",8,2,"1,1",4.0,2.0,1381000.0,345250.0,4.0,2.0,37.0,6.0,6.0,"1,2,6,15","8,3,1","2,1,12",1,1.0,1.0,,,,1.0,,,,,,,,1.0,,,39010,39010,39010,39020,39020,39010,39010,39010,,,,8,3,1,2,1,12,1.0,1.0,,,,,,,,,,,,
4977,2020.0,"11010,11020,11010",3,0,0,2.0,0.0,196500.0,98250.0,4.0,1.0,23.0,6.0,6.0,"2,6,15,16","2,10,6","1,11,8",3,,1.0,,,,1.0,,,,,,,,1.0,1.0,,11010,11020,11010,,,,,,,,,2,10,6,1,11,8,,,,,,,,,,,,,,
4978,2020.0,"11140,11130,11050,11230,11030",5,1,1,4.0,0.0,691000.0,172750.0,4.0,2.0,26.0,6.0,6.0,"2,15","2,10,6","1,5",3,,1.0,,,,,,,,,,,,1.0,,,11140,11130,11050,11230,11030,,,,,,,2,10,6,1,5,,1.0,,,,,,,,,,,,,
4979,2020.0,"32030,32030,32030,32030",4,1,3,3.0,0.0,620001.0,206667.0,5.0,2.0,31.0,7.0,6.0,"1,2,6,15",1,"8,2",4,1.0,1.0,,,,1.0,,,,,,,,1.0,,,32030,32030,32030,32030,,,,,,,,1,,,8,2,,3.0,,,,,,,,,,,,,
4980,2020.0,34380,1,0,0,4.0,0.0,490000.0,122500.0,5.0,2.0,47.0,7.0,6.0,"1,2,6",1,"8,1",1,1.0,1.0,,,,1.0,,,,,,,,,,,34380,,,,,,,,,,,1,,,8,1,,,,,,,,,,,,,,,
4981,2020.0,"35380,35380,35380",3,1,4,3.0,0.0,299997.0,99999.0,4.0,1.0,35.0,7.0,6.0,"1,2,6",1,"8,4",5,1.0,1.0,,,,1.0,,,,,,,,,,,35380,35380,35380,,,,,,,,,1,,,8,4,,4.0,,,,,,,,,,,,,
4982,2020.0,"39010,39010,39010",3,2,"3,3",3.0,0.0,1250001.0,416667.0,4.0,2.0,27.0,8.0,6.0,"1,5,6","1,3,8","2,1,14",3,1.0,,,,1.0,1.0,,,,,,,,,,,39010,39010,39010,,,,,,,,,1,3,8,2,1,14,3.0,3.0,,,,,,,,,,,,
4983,2020.0,33330,1,0,0,3.0,1.0,109999.0,38333.0,4.0,2.0,48.0,8.0,6.0,"1,2,6",1,"8,12",1,1.0,1.0,,,,1.0,,,,,,,,,,,33330,,,,,,,,,,,1,,,8,12,,,,,,,,,,,,,,,
4984,2020.0,33330,1,0,0,4.0,1.0,152000.0,38000.0,4.0,2.0,17.0,8.0,6.0,"2,6",1,"3,14,8",1,,1.0,,,,1.0,,,,,,,,,,,33330,,,,,,,,,,,1,,,3,14,8,,,,,,,,,,,,,,
4985,2020.0,29010,1,0,0,1.0,,50000.0,50000.0,4.0,1.0,33.0,8.0,6.0,"1,2,12",1,13,,1.0,1.0,,,,,,,,,,1.0,,,,,29010,,,,,,,,,,,1,,,13,,,,,,,,,,,,,,,,
4986,2020.0,29010,1,0,0,2.0,0.0,38000.0,19000.0,4.0,2.0,26.0,2.0,6.0,"1,12",1,"4,5,13",3,1.0,,,,,,,,,,,1.0,,,,,29010,,,,,,,,,,,1,,,4,5,13,,,,,,,,,,,,,,
4987,2020.0,"33340,34370,34020",3,"0,1",2,2.0,0.0,338000.0,199000.0,4.0,2.0,31.0,2.0,6.0,"1,2,6,7",1,"8,5,1",1,1.0,1.0,,,,1.0,1.0,,,,,,,,,,33340,34370,34020,,,,,,,,,1,,,8,5,1,0.0,2.0,,,,,,,,,,,,
4988,2020.0,35010,1,0,0,4.0,0.0,149000.0,49750.0,4.0,1.0,55.0,2.0,6.0,"1,2,6",1,"5,2,4",1,1.0,1.0,,,,1.0,,,,,,,,,,,35010,,,,,,,,,,,1,,,5,2,4,,,,,,,,,,,,,,
4989,2020.0,33380,1,0,0,4.0,1.0,217000.0,54250.0,4.0,2.0,47.0,9.0,6.0,"1,2,6",1,"1,2,11",1,1.0,1.0,,,,1.0,,,,,,,,,,,33380,,,,,,,,,,,1,,,1,2,11,,,,,,,,,,,,,,
4990,2020.0,34340,1,0,0,4.0,0.0,300000.0,75000.0,4.0,1.0,32.0,9.0,6.0,"1,2,6",1,"2,14,8",3,1.0,1.0,,,,1.0,,,,,,,,,,,34340,,,,,,,,,,,1,,,2,14,8,,,,,,,,,,,,,,
4991,2020.0,35020,1,0,0,4.0,0.0,208000.0,52000.0,5.0,2.0,20.0,3.0,6.0,"1,2,6,8",1,"2,5,12",1,1.0,1.0,,,,1.0,,1.0,,,,,,,,,35020,,,,,,,,,,,1,,,2,5,12,,,,,,,,,,,,,,
4992,2020.0,35370,1,0,0,2.0,0.0,115000.0,57500.0,4.0,1.0,32.0,4.0,6.0,"1,2,4,6,8,9",1,"2,9,5",3,1.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,35370,,,,,,,,,,,1,,,2,9,5,,,,,,,,,,,,,,
4993,2020.0,33030,1,1,11,3.0,1.0,357000.0,119000.0,4.0,2.0,38.0,4.0,6.0,"1,2,4,5,6,8,9,15,16",1,"12,2,6",1,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,33030,,,,,,,,,,,1,,,12,2,6,11.0,,,,,,,,,,,,,
4994,2020.0,34060,1,0,0,3.0,1.0,90000.0,30000.0,4.0,2.0,36.0,5.0,6.0,"1,2,5,6",1,"2,9,13",1,1.0,1.0,,,1.0,1.0,,,,,,,,,,,34060,,,,,,,,,,,1,,,2,9,13,,,,,,,,,,,,,,
4995,2020.0,29010,1,0,0,4.0,2.0,95000.0,23750.0,4.0,1.0,46.0,5.0,6.0,"1,2,6",1,"2,3,9",1,1.0,1.0,,,,1.0,,,,,,,,,,,29010,,,,,,,,,,,1,,,2,3,9,,,,,,,,,,,,,,
4996,2020.0,34310,1,0,0,2.0,0.0,97000.0,48500.0,4.0,1.0,29.0,5.0,6.0,"1,2,6,8",1,"2,9,8",3,1.0,1.0,,,,1.0,,1.0,,,,,,,,,34310,,,,,,,,,,,1,,,2,9,8,,,,,,,,,,,,,,
4997,2020.0,"33350,34340,34340",3,"1,1","12,3",4.0,2.0,369999.0,94833.0,4.0,1.0,36.0,10.0,6.0,"1,2,4,6",1,"8,2,5",1,1.0,1.0,,1.0,,1.0,,,,,,,,,,,33350,34340,34340,,,,,,,,,1,,,8,2,5,12.0,12.0,,,,,,,,,,,,
4998,2020.0,"34330,34340",2,1,4,4.0,0.0,516000.0,129000.0,5.0,2.0,48.0,10.0,6.0,"1,2,4,6,7",1,"8,6,12",3,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,34330,34340,,,,,,,,,,1,,,8,6,12,4.0,,,,,,,,,,,,,
4999,2020.0,35040,1,0,0,2.0,0.0,204000.0,102000.0,4.0,2.0,72.0,10.0,6.0,"1,2",1,"4,2,5",1,1.0,1.0,,,,,,,,,,,,,,,35040,,,,,,,,,,,1,,,4,2,5,,,,,,,,,,,,,,
5000,2020.0,"34350,34060",2,"0,0",,4.0,2.0,87000.0,21750.0,4.0,2.0,41.0,6.0,6.0,"1,2,6",1,"4,2",1,1.0,1.0,,,,1.0,,,,,,,,,,,34350,34060,,,,,,,,,,1,,,4,2,,0.0,0.0,,,,,,,,,,,,
5001,2020.0,34030,1,0,0,2.0,0.0,115000.0,57500.0,4.0,2.0,28.0,6.0,6.0,"1,2,6",1,"5,2,4",3,1.0,1.0,,,,1.0,,,,,,,,,,,34030,,,,,,,,,,,1,,,5,2,4,,,,,,,,,,,,,,
5002,2020.0,33320,1,0,0,4.0,0.0,200000.0,50000.0,4.0,2.0,56.0,11.0,6.0,"1,2,4",1,"5,2,14",3,1.0,1.0,,1.0,,,,,,,,,,,,,33320,,,,,,,,,,,1,,,5,2,14,,,,,,,,,,,,,,
5003,2020.0,34310,1,0,0,4.0,1.0,124000.0,31000.0,4.0,1.0,17.0,11.0,6.0,"1,2",1,"14,8,4",1,1.0,1.0,,,,,,,,,,,,,,,34310,,,,,,,,,,,1,,,14,8,4,,,,,,,,,,,,,,
5004,2020.0,"39010,39010,39010,39020",4,2,"9,3",3.0,0.0,1203003.0,401001.0,5.0,1.0,25.0,11.0,6.0,"1,2,6","3,4,8","2,14,8",3,1.0,1.0,,,,1.0,,,,,,,,,,,39010,39010,39010,39020,,,,,,,,3,4,8,2,14,8,9.0,3.0,,,,,,,,,,,,
5005,2020.0,"33360,33360",2,2,12,3.0,0.0,167000.0,41750.0,4.0,1.0,22.0,7.0,6.0,"1,6",1,"1,2,14","1,2",1.0,,,,,1.0,,,,,,,,,,,33360,33360,,,,,,,,,,1,,,1,2,14,12.0,12.0,,,,,,,,,,,,
