,CRI_YM,TAG,평일휴일,요일,시간대,성별,연령대, 건수합계 ,Unnamed: 8,Unnamed: 9,Unnamed: 10
219,201905,0,1,5,3,1,0,463,,,
220,201905,2,1,4,2,1,2,138,,,
221,202105,0,0,0,2,1,1,135,,,
222,202105,0,0,3,5,0,2,1220,,,
223,201905,0,1,3,3,0,0,180,,,
224,201905,2,1,4,0,1,0,10,,,
225,202105,3,0,1,0,1,1,659,,,
226,202105,0,1,2,2,1,1,1026,,,
227,202005,0,1,0,0,0,1,56,,,
228,202105,0,0,3,0,1,4,191,,,
229,202005,0,1,0,1,1,2,150,,,
230,202005,0,1,0,4,0,0,352,,,
231,202005,1,0,0,1,1,1,779,,,
232,202005,0,1,5,5,0,1,5731,,,
233,202105,2,1,5,3,1,4,46,,,
234,202105,0,0,6,1,0,2,1339,,,
235,201905,1,0,6,0,0,2,880,,,
236,202105,0,1,2,5,0,0,294,,,
237,202105,1,1,5,4,1,0,2595,,,
238,202105,0,1,2,3,1,3,81,,,
239,202005,1,0,1,0,0,4,122,,,
240,202105,0,0,2,0,1,4,27,,,
241,201905,1,0,0,1,1,0,248,,,
242,202005,0,0,6,4,0,4,746,,,
243,201905,0,0,1,5,0,2,674,,,
244,202005,0,1,6,4,1,0,136,,,
245,202005,0,0,1,2,1,0,195,,,
246,202005,2,1,6,1,1,2,18,,,
247,202005,3,0,3,0,1,2,577,,,
248,201905,3,0,6,2,1,4,529,,,
249,202105,2,1,5,0,0,4,11,,,
250,202105,2,0,1,2,1,2,386,,,
251,201905,1,0,3,0,0,1,367,,,
252,202105,0,0,1,1,1,3,235,,,
253,202005,0,1,0,4,0,4,11,,,
254,202005,0,0,0,2,0,4,260,,,
255,202105,2,1,4,0,1,1,47,,,
256,202005,0,1,4,0,0,1,42,,,
257,202005,0,1,5,0,1,1,99,,,
258,202105,0,0,3,0,1,2,450,,,
259,201905,1,1,5,3,0,0,914,,,
260,202005,1,0,6,4,1,3,364,,,
261,202005,2,1,4,5,1,0,121,,,
262,202005,0,1,0,0,1,1,89,,,
263,201905,1,1,4,4,1,3,161,,,
264,201905,0,1,3,5,1,3,86,,,
265,202105,0,1,5,0,1,2,82,,,
266,201905,0,1,5,1,0,3,13,,,
267,202105,0,0,3,4,0,2,225,,,
268,201905,3,0,3,4,1,1,2239,,,
269,202005,0,1,4,1,0,2,671,,,
270,202005,0,1,0,3,0,4,7,,,
271,202005,2,1,0,1,1,1,39,,,
272,202105,0,0,3,0,0,1,551,,,
273,201905,1,1,3,5,0,2,1997,,,
274,201905,1,1,4,5,1,4,183,,,
275,202005,0,1,6,1,0,3,43,,,
276,202105,0,1,2,4,0,4,28,,,
277,202005,3,1,0,4,0,3,640,,,
278,202005,1,1,0,2,0,0,1226,,,
279,202005,0,1,6,3,0,2,538,,,
280,202005,0,0,3,1,1,2,932,,,
281,201905,1,1,3,3,1,3,35,,,
282,202105,0,0,3,4,0,4,280,,,
283,202005,0,0,0,5,1,1,340,,,
284,202105,0,0,1,3,0,0,1112,,,
285,202105,1,0,2,5,1,0,1406,,,
286,202005,2,0,6,1,1,0,41,,,
287,201905,0,0,3,4,0,2,286,,,
288,201905,0,1,5,4,0,4,86,,,
289,202105,3,0,0,0,0,3,502,,,
290,202105,0,0,0,0,0,4,11,,,
291,201905,2,0,6,1,0,3,85,,,
292,201905,0,0,1,2,0,2,6360,,,
293,201905,0,0,6,3,0,1,1690,,,
294,202005,0,1,0,3,1,4,51,,,
295,202005,0,1,5,4,0,3,163,,,
296,202105,0,0,2,4,0,3,2037,,,
297,202105,2,1,2,0,1,0,22,,,
298,202005,1,1,5,2,1,2,1046,,,
299,202105,1,0,0,4,1,0,2071,,,
300,202005,1,1,4,1,1,3,235,,,
301,202005,0,0,0,5,0,1,1052,,,
302,202105,1,0,2,3,0,2,1838,,,
303,202005,0,0,1,2,1,4,343,,,
304,201905,2,0,3,5,0,0,253,,,
305,202105,0,0,0,0,0,3,10,,,
306,201905,0,0,3,1,1,2,1394,,,
307,201905,0,0,1,2,0,4,71,,,
308,201905,0,0,6,2,1,1,1536,,,
309,202005,0,0,3,5,1,3,1482,,,
310,202105,1,1,4,0,0,0,462,,,
311,202005,0,0,0,3,0,0,125,,,
312,201905,0,0,2,0,0,2,73,,,
313,201905,0,0,1,1,1,1,438,,,
314,202105,1,1,5,1,1,4,44,,,
315,202105,1,0,0,2,1,4,242,,,
